model,freeze,head_type,pct_data,subset_ratio,f1_mean,f1_std,auroc_mean,auroc_std,clip_f1_mean,clip_f1_std,clip_auroc_mean,clip_auroc_std,micro_f1_mean,micro_f1_std,macro_f1_mean,macro_f1_std,cli_sens_mean,cli_sens_std,cli_spec_mean,cli_spec_std,cli_f1_mean,cli_f1_std,n_train
efficientnetb0,finetune,linear,10,0.1,0.27566666666666667,0.09404183466238134,0.5865,0.10723199149507578,0.23466666666666666,0.12987635145270546,0.6398333333333334,0.15575418667460167,0.38629737609329445,0.17253160534216652,0.2761122128710867,0.09422824607997816,0.43800623052959503,0.11546299370089923,0.684322033898305,0.15048494815362304,0.4165722639674845,0.12753974876190033,814
efficientnetb0,finetune,linear,25,0.25,0.302,0.06912307863514183,0.596,0.0792893435462799,0.26133333333333336,0.1169831896755541,0.6698333333333334,0.12119969746936934,0.43498542274052476,0.14920142322522453,0.3025337884875407,0.06906789516250425,0.5439252336448598,0.13341133770883268,0.648728813559322,0.21934636257279386,0.4747759752518916,0.08714434549654343,2027
efficientnetb0,finetune,linear,50,0.5,0.3225,0.06790213545979244,0.6268333333333334,0.08423162509809878,0.3253333333333333,0.07922289231444828,0.695,0.12416923934694939,0.4337220602526725,0.16143430446963491,0.3232683740691407,0.06800020990302616,0.46635514018691593,0.18837097181849669,0.6454802259887006,0.2707828918326278,0.41320942990587634,0.058576275977289316,3609
efficientnetb0,finetune,linear,75,0.75,0.36233333333333334,0.058650376526213924,0.6845,0.07385864878265777,0.3655,0.1318692534292964,0.7971666666666667,0.09688842380112635,0.5143828960155491,0.15322231330616082,0.3629682806262195,0.05890793475751859,0.42679127725856697,0.05434936357054146,0.8288135593220339,0.17993104108548766,0.4887719855032066,0.0976840259843283,5153
efficientnetb0,finetune,linear,100,1.0,0.38116666666666665,0.08421737746253244,0.6699999999999999,0.08020224435762381,0.4418333333333333,0.14437509018756203,0.824,0.1431712261594487,0.505150631681244,0.16404879340780734,0.3819097166572069,0.08402886592792351,0.5174454828660436,0.08664043713979161,0.7521186440677966,0.22546370870141416,0.516449197221294,0.0812980262922569,6467
resnet50_1M,finetune,linear,10,0.1,0.30533333333333335,0.05190247264501631,0.6241666666666666,0.1235045208349341,0.3325,0.08059218324378611,0.7065,0.15079356750206555,0.44480077745383867,0.11185212665321011,0.3054209669144281,0.051893792462411124,0.6940809968847352,0.09743799319481443,0.65,0.1503839766046227,0.5689081120585967,0.092963931847269,814
resnet50_1M,finetune,linear,25,0.25,0.3405,0.021333072915077175,0.6609999999999999,0.06251399843235113,0.3423333333333334,0.05820881949212394,0.739,0.0342870237845165,0.5240038872691933,0.070429658675228,0.34109971509986886,0.021378476736873923,0.6264797507788161,0.1661656661879212,0.7628531073446329,0.1460830306481216,0.5791285198722225,0.046653849709411006,2027
resnet50_1M,finetune,linear,50,0.5,0.3706666666666667,0.04722569921839873,0.6778333333333334,0.04232926489636534,0.3665,0.09413129129040992,0.761,0.057452589149663266,0.5416909620991254,0.12110044600352482,0.3708005005835739,0.04696404175092717,0.4915887850467289,0.13568085122105045,0.8409604519774012,0.19545883426926558,0.5396976291937174,0.06096585591603101,3609
resnet50_1M,finetune,linear,75,0.75,0.34650000000000003,0.10513943123300602,0.7196666666666666,0.08201138132397641,0.3581666666666667,0.10678467430613192,0.809,0.0666573326799085,0.5201166180758018,0.1958569249760434,0.3468519711117146,0.10520053243615167,0.611214953271028,0.10207729744075376,0.8101694915254237,0.22888762140994573,0.6182895816795578,0.0741115153143264,5153
resnet50_1M,finetune,linear,100,1.0,0.41583333333333333,0.060074675751656495,0.738,0.07299315036357865,0.4031666666666667,0.11938913965125417,0.8383333333333334,0.07608591634899764,0.5920310981535472,0.09013729865365738,0.41624883823318,0.06034134896037164,0.5473520249221183,0.042152191998778905,0.8871468926553673,0.0581418108714089,0.6121568604107543,0.06907243596291741,6467
resnet50_200K,finetune,linear,10,0.1,0.31066666666666665,0.08329625841937119,0.6026666666666667,0.12407363405118213,0.359,0.08472543891889847,0.727,0.07652973278406242,0.43032069970845477,0.13071372567451242,0.31075887518804607,0.08322430683003385,0.6682242990654205,0.1383063900355824,0.6221751412429378,0.2192577229125224,0.5470492147922907,0.13209536423795823,814
resnet50_200K,finetune,linear,25,0.25,0.321,0.0696649122586112,0.6073333333333334,0.10251568985607358,0.303,0.1150565078559227,0.6783333333333333,0.1233412610064721,0.46899902818270167,0.12456135299686968,0.32113933237744835,0.06950418417002138,0.5725856697819315,0.13336244477957301,0.6730225988700566,0.22560742907963516,0.5060839825995311,0.09500217448802536,2027
resnet50_200K,finetune,linear,50,0.5,0.37516666666666665,0.04741905383563305,0.6843333333333333,0.04802776974487432,0.3698333333333334,0.13155138413056197,0.7871666666666667,0.03767448296482203,0.5462585034013605,0.12148302415400089,0.3757611549229072,0.04712572926658365,0.4498442367601246,0.05979750575946646,0.8939265536723164,0.07820967234810691,0.53642863575864,0.06619949722427186,3609
resnet50_200K,finetune,linear,75,0.75,0.3451666666666666,0.08560704799645101,0.6651666666666667,0.08341083063167916,0.429,0.1629662541755194,0.7360000000000001,0.14837654801214376,0.4515063168124393,0.1649206654305019,0.34568437206067015,0.08579709168753527,0.7208722741433022,0.0959420638251472,0.6040960451977401,0.2689427397445846,0.5752170625935662,0.08941977675807566,5153
resnet50_200K,finetune,linear,100,1.0,0.3905,0.10569910122607476,0.6995,0.06254518366748951,0.47733333333333333,0.11457166607266675,0.8405,0.07564324160161302,0.521865889212828,0.1816717243377337,0.39098184612168674,0.10568486231943969,0.6806853582554516,0.15758424639786878,0.7055084745762712,0.32708647861530715,0.607206241701764,0.07508374314704147,6467
resnet50_5M,finetune,linear,10,0.1,0.3273333333333333,0.03788227377899414,0.6493333333333333,0.08198699083797785,0.3641666666666667,0.07833879413589838,0.769,0.08798863562983572,0.4838678328474247,0.06343467719910922,0.32769433565641587,0.03811265643263331,0.7190031152647975,0.14614702940086058,0.6518361581920904,0.07891176070275971,0.5753908480449311,0.09031749256711541,814
resnet50_5M,finetune,linear,25,0.25,0.3475,0.05332447843157961,0.6445,0.07589136973332342,0.3418333333333334,0.08210095411544661,0.7451666666666666,0.049543583506511404,0.5180758017492711,0.08228539530424808,0.3478739173123868,0.05314560003538897,0.559190031152648,0.19255935301656288,0.7470338983050847,0.17048753957135718,0.5240229849656092,0.09478008279992733,2027
resnet50_5M,finetune,linear,50,0.5,0.40650000000000003,0.031948395890873775,0.7063333333333333,0.028451127687082394,0.4523333333333333,0.01053881713792714,0.8098333333333333,0.032096209537368504,0.60932944606414,0.023445744387876808,0.40694530121486866,0.031549619660554744,0.4666666666666666,0.07764249895543422,0.9176553672316384,0.040085432561811386,0.5652265756763165,0.07580172199822156,3609
resnet50_5M,finetune,linear,75,0.75,0.426,0.03614968879534096,0.7351666666666666,0.028230598057190838,0.45450000000000007,0.077973713519365,0.8598333333333333,0.02996275465751881,0.6090379008746356,0.06914257095690426,0.4265601959627443,0.0359310811145415,0.6155763239875389,0.10905811933159708,0.8637005649717514,0.1331338580157145,0.6453838234451473,0.027862836161501644,5153
resnet50_5M,finetune,linear,100,1.0,0.3685,0.0893907154015449,0.7134999999999999,0.045671654228854025,0.399,0.15662566839442377,0.8448333333333333,0.056297128405156396,0.4862001943634597,0.17483979031946378,0.3688394281736403,0.08957942726994467,0.7196261682242991,0.16705721847853705,0.6820621468926554,0.2368090906978339,0.6024376439775289,0.036130504614348614,6467
resnet50_imagenet,finetune,linear,10,0.1,0.2005,0.09361784018017079,0.5363333333333333,0.11792653080060765,0.20933333333333334,0.13476893806314075,0.5266666666666667,0.218511937126251,0.2725947521865889,0.09345230815764076,0.2006851510347899,0.09348367959002689,0.7052959501557633,0.20491528912087523,0.40508474576271186,0.2656662744433623,0.4655229968500461,0.053266339862236806,814
resnet50_imagenet,finetune,linear,25,0.25,0.24100000000000002,0.08789311690911866,0.6006666666666667,0.05668744717013342,0.1845,0.09552957657186595,0.6315,0.09726407353180311,0.3010689990281827,0.1186101957608231,0.2408760222413896,0.0879138182064347,0.5897196261682244,0.3286803082681334,0.46172316384180795,0.34743506196535334,0.39063760758645466,0.12493037958458346,2027
resnet50_imagenet,finetune,linear,50,0.5,0.24133333333333332,0.12021425317601349,0.5776666666666667,0.08207232582708171,0.30016666666666664,0.1604099955322818,0.6546666666666666,0.14258143871720003,0.2816326530612245,0.10566717450748754,0.24174518427333905,0.12036395315066824,0.7984423676012461,0.15092073854152852,0.2834745762711865,0.22207190126319928,0.4732196738414012,0.02963357096396633,3609
resnet50_imagenet,finetune,linear,75,0.75,0.3373333333333333,0.058359803518060846,0.6328333333333334,0.0586461138240776,0.373,0.12401128980862991,0.726,0.09797754844861145,0.4058309037900874,0.0884630932968012,0.33773710356632075,0.058705724184834246,0.5520249221183801,0.18560160993134478,0.5704802259887006,0.1647518802193573,0.43603801734730746,0.08566346709420385,5153
resnet50_imagenet,finetune,linear,100,1.0,0.2738333333333333,0.02821642547642536,0.6081666666666666,0.059821122245129,0.26066666666666666,0.11770924630914374,0.6505,0.13335029058835984,0.3590864917395529,0.05261455112291023,0.2740598037817696,0.0286239608756164,0.6320872274143302,0.34455735624326134,0.45254237288135596,0.29645758787327653,0.3995015214765299,0.16309259526562264,6467
vits16_gastronet,finetune,linear,10,0.1,0.32266666666666666,0.07322203675579277,0.6703333333333333,0.10523624217286871,0.35716666666666663,0.07742717008044826,0.7105,0.07058257575351015,0.4967930029154519,0.1459450874490776,0.32312173038434827,0.07299580048781337,0.5280373831775701,0.12184134766663907,0.7495762711864407,0.16692097327354224,0.5146804821738996,0.11628030083826288,814
vits16_gastronet,finetune,linear,25,0.25,0.3245,0.08505233682856692,0.6303333333333333,0.13930206985779736,0.3245,0.09702525444439711,0.6638333333333334,0.12942861610427064,0.4849368318756074,0.1432042747040249,0.3248673008723097,0.08499038107822893,0.47383177570093454,0.1272003473974198,0.7173728813559322,0.2234704144666879,0.4704196481978921,0.15023393358927697,2027
vits16_gastronet,finetune,linear,50,0.5,0.38466666666666666,0.07819889172275185,0.7123333333333334,0.04975808142067645,0.4048333333333334,0.19126987914114096,0.7521666666666667,0.07358102110372391,0.603692905733722,0.03460957819143097,0.3849546337147521,0.07840819400221946,0.39034267912772586,0.13657613635809737,0.9310734463276836,0.04777637108058947,0.494296071752105,0.13589712705181708,3609
vits16_gastronet,finetune,linear,75,0.75,0.42133333333333334,0.02481666107006876,0.7639999999999999,0.02963106478005814,0.37833333333333335,0.09477482084745227,0.8011666666666667,0.04008199928479946,0.6394557823129251,0.018628498082806987,0.421628864636487,0.024786785074195274,0.5781931464174455,0.07702809559120934,0.926271186440678,0.054535725543249015,0.6638064431513059,0.048572128027427774,5153
vits16_gastronet,finetune,linear,100,1.0,0.41500000000000004,0.04241226237776053,0.7471666666666666,0.028659495227004034,0.42366666666666664,0.05593806098415163,0.8278333333333334,0.04302286213940986,0.6149659863945578,0.023363425693747827,0.4153202475882851,0.04210869545015009,0.5376947040498442,0.08734926958026815,0.8966101694915255,0.015736263577539215,0.6059274947453156,0.06252189012565923,6467
vits16_imagenet,finetune,linear,10,0.1,0.253,0.04234619227274162,0.5568333333333334,0.0990927175258942,0.3,0.11441852996783344,0.5830000000000001,0.14577928522255829,0.3768707482993197,0.1059959305204753,0.25306303204534836,0.04234521555962206,0.4691588785046729,0.17354412941043432,0.6240112994350283,0.1550793429332725,0.4040759423817062,0.12475710501253964,814
