model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,clip_f1,clip_auroc,micro_f1,macro_f1,clin_sensitivity,clin_specificity,clin_f1,checkpoint_dir,sens_mayo0,sens_mayo1,sens_mayo2,sens_mayo3,spec_mayo0,spec_mayo1,spec_mayo2,spec_mayo3
efficientnetb0,finetune,linear,0.1,10,42,814,0.342,0.62,0.216,0.71,0.5475218658892128,0.3430864460634352,0.411214953271028,0.785593220338983,0.4365079365079365,output/mes/models/efficientnetb0/0/linear/20260606_035025,0.8343881856540084,0.034482758620689655,0.21283783783783783,0.32217573221757323,0.530638852672751,0.9440323668240054,0.857646229739253,0.9112466124661247
vits16_imagenet,finetune,linear,0.1,10,42,814,0.319,0.698,0.374,0.737,0.5848396501457725,0.31895006142340987,0.411214953271028,0.8983050847457628,0.5028571428571429,output/mes/models/vits16_imagenet/0/linear/20260606_035027,0.9219409282700421,0.03017241379310345,0.0033783783783783786,0.5062761506276151,0.4654498044328553,0.9433580579905597,0.9774489076814659,0.8739837398373984
resnet50_imagenet,finetune,linear,0.1,10,42,814,0.123,0.408,0.097,0.253,0.1836734693877551,0.12351697443876497,0.9177570093457944,0.1152542372881356,0.47439613526570046,output/mes/models/resnet50_imagenet/0/linear/20260606_035757,0.056962025316455694,0.017241379310344827,0.8175675675675675,0.06276150627615062,0.9713168187744459,0.9325691166554282,0.21846370683579985,0.8855013550135501
vits16_gastronet,finetune,linear,0.1,10,42,814,0.354,0.776,0.374,0.767,0.632069970845481,0.3544351291584652,0.5570093457943925,0.8940677966101694,0.6221294363256785,output/mes/models/vits16_gastronet/0/linear/20260606_035849,0.9556962025316456,0.03879310344827586,0.0,0.7071129707112971,0.5814863102998696,0.9622387053270398,0.9880197322057788,0.8394308943089431
resnet50_200K,finetune,linear,0.1,10,42,814,0.383,0.715,0.42,0.795,0.602332361516035,0.38340830290459693,0.5383177570093458,0.8940677966101694,0.6075949367088608,output/mes/models/resnet50_200K/0/linear/20260606_040137,0.8913502109704642,0.2413793103448276,0.013513513513513514,0.5355648535564853,0.7509778357235984,0.8583951449763992,0.9584214235377027,0.8495934959349594
resnet50_1M,finetune,linear,0.1,10,42,814,0.322,0.66,0.34,0.762,0.5288629737609329,0.3224419658077829,0.6841121495327103,0.7406779661016949,0.6064623032311516,output/mes/models/resnet50_1M/0/linear/20260606_040927,0.759493670886076,0.09913793103448276,0.0,0.6861924686192469,0.7926988265971316,0.9049224544841538,0.9577167019027484,0.6964769647696477
efficientnetb0,finetune,linear,0.1,10,84,1076,0.178,0.471,0.086,0.416,0.21224489795918366,0.17807870217452337,0.4224299065420561,0.65,0.3850085178875639,output/mes/models/efficientnetb0/0/linear/20260606_042156,0.20780590717299577,0.4267241379310345,0.030405405405405407,0.24686192468619247,0.7926988265971316,0.5812542144302091,0.9020436927413672,0.7073170731707317
resnet50_5M,finetune,linear,0.1,10,42,814,0.356,0.651,0.494,0.742,0.5673469387755102,0.35646039556341463,0.7102803738317757,0.7440677966101695,0.6244864420706656,output/mes/models/resnet50_5M/0/linear/20260606_041655,0.7985232067510548,0.125,0.0033783783783783786,0.7782426778242678,0.8357235984354628,0.9184086311530681,0.945031712473573,0.717479674796748
vits16_imagenet,finetune,linear,0.1,10,84,1076,0.247,0.518,0.356,0.533,0.34752186588921286,0.24744139041844218,0.4130841121495327,0.47711864406779664,0.3219227967953387,output/mes/models/vits16_imagenet/0/linear/20260606_042614,0.46729957805907174,0.008620689655172414,0.21283783783783783,0.3682008368200837,0.5475880052151239,0.942683749157114,0.6835799859055673,0.8387533875338753
resnet50_imagenet,finetune,linear,0.1,10,84,1076,0.198,0.496,0.269,0.48,0.30262390670553935,0.19736672129697969,0.4485981308411215,0.5440677966101695,0.3655750190403656,output/mes/models/resnet50_imagenet/0/linear/20260606_043007,0.399789029535865,0.05603448275862069,0.006756756756756757,0.5230125523012552,0.6623207301173403,0.8071476736345247,0.9901338971106413,0.5684281842818428
