model,freeze,head_type,pct_data,subset_ratio,f1_mean,f1_std,auroc_mean,auroc_std,clip_f1_mean,clip_f1_std,clip_auroc_mean,clip_auroc_std,n_train
efficientnetb0,finetune,linear,10,0.1,0.6398333333333334,0.014688998150543389,0.8853333333333334,0.005573747990954283,0.6398333333333334,0.014688998150543389,0.8853333333333334,0.005573747990954283,820
efficientnetb0,finetune,linear,25,0.25,0.6595000000000001,0.00884872872225159,0.9051666666666667,0.0038166302763913275,0.6595000000000001,0.00884872872225159,0.9051666666666667,0.0038166302763913275,2050
efficientnetb0,finetune,linear,50,0.5,0.6728333333333333,0.012906070922890003,0.9171666666666667,0.0028577380332470447,0.6728333333333333,0.012906070922890003,0.9171666666666667,0.0028577380332470447,4099
efficientnetb0,finetune,linear,75,0.75,0.6818333333333334,0.011034793458269434,0.9218333333333334,0.0027868739954771205,0.6818333333333334,0.011034793458269434,0.9218333333333334,0.0027868739954771205,6149
efficientnetb0,finetune,linear,100,1.0,0.6825000000000001,0.008938679992034598,0.9235000000000001,0.0008366600265340778,0.6825000000000001,0.008938679992034598,0.9235000000000001,0.0008366600265340778,8199
resnet50_1M,finetune,linear,10,0.1,0.645,0.022315913604421454,0.8965000000000001,0.009772410142845982,0.645,0.022315913604421454,0.8965000000000001,0.009772410142845982,820
resnet50_1M,finetune,linear,25,0.25,0.695,0.01521840990379741,0.9211666666666667,0.002041241452319318,0.695,0.01521840990379741,0.9211666666666667,0.002041241452319318,2050
resnet50_1M,finetune,linear,50,0.5,0.6978333333333332,0.011686174167222887,0.928,0.001897366596101017,0.6978333333333332,0.011686174167222887,0.928,0.001897366596101017,4099
resnet50_1M,finetune,linear,75,0.75,0.7126666666666667,0.008500980335624034,0.9318333333333334,0.003816630276391294,0.7126666666666667,0.008500980335624034,0.9318333333333334,0.003816630276391294,6149
resnet50_1M,finetune,linear,100,1.0,0.7103333333333333,0.0045018514709690895,0.9315000000000001,0.0038858718455450822,0.7103333333333333,0.0045018514709690895,0.9315000000000001,0.0038858718455450822,8199
resnet50_200K,finetune,linear,10,0.1,0.6305,0.01291123541726353,0.8943333333333333,0.009500877152487892,0.6305,0.01291123541726353,0.8943333333333333,0.009500877152487892,820
resnet50_200K,finetune,linear,25,0.25,0.6841666666666667,0.011583033569262675,0.9198333333333334,0.004792355023020171,0.6841666666666667,0.011583033569262675,0.9198333333333334,0.004792355023020171,2050
resnet50_200K,finetune,linear,50,0.5,0.703,0.007589466384404108,0.9295,0.0015165750888102999,0.703,0.007589466384404108,0.9295,0.0015165750888102999,4099
resnet50_200K,finetune,linear,75,0.75,0.705,0.009777525249264282,0.9335,0.0028809720581775915,0.705,0.009777525249264282,0.9335,0.0028809720581775915,6149
resnet50_200K,finetune,linear,100,1.0,0.7093333333333334,0.008041558721209896,0.9341666666666667,0.0023166067138525068,0.7093333333333334,0.008041558721209896,0.9341666666666667,0.0023166067138525068,8199
