model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,clip_f1,clip_auroc,run_id
efficientnetb0,finetune,linear,0.1,10,42,820,0.626,0.885,0.626,0.885,f24afb9d78ac4906ae9339c0e988c011
vits16_imagenet,finetune,linear,0.1,10,42,820,0.633,0.894,0.633,0.894,909ce0c7ce454e379c4db28d268429a7
resnet50_imagenet,finetune,linear,0.1,10,42,820,0.568,0.856,0.568,0.856,bb4eda1809ce4f1a8eaabfd798d3bd3f
vits16_gastronet,finetune,linear,0.1,10,42,820,0.679,0.917,0.679,0.917,099c4876eb72424fa28b1bac0fe017e7
resnet50_200K,finetune,linear,0.1,10,42,820,0.623,0.895,0.623,0.895,4477b285558c416a88f23f86bfd20d45
resnet50_1M,finetune,linear,0.1,10,42,820,0.647,0.902,0.647,0.902,c3dc6733283d497faef4d7ae6d692590
resnet50_5M,finetune,linear,0.1,10,42,820,0.642,0.897,0.642,0.897,9ccdb33b29c74b9992419057f5197d36
efficientnetb0,finetune,linear,0.1,10,84,820,0.629,0.882,0.629,0.882,acc8e2b85f524e6d8edc8b0bd75b58e9
vits16_imagenet,finetune,linear,0.1,10,84,820,0.621,0.889,0.621,0.889,84967aabdcf04579879f11970d6f075c
resnet50_imagenet,finetune,linear,0.1,10,84,820,0.569,0.858,0.569,0.858,3eb9fc61f788479ba17a8eca985af133
vits16_gastronet,finetune,linear,0.1,10,84,820,0.693,0.919,0.693,0.919,7736703793f4430a9cd37d7ce51bf0b7
resnet50_200K,finetune,linear,0.1,10,84,820,0.634,0.896,0.634,0.896,58aedcc343584d72b0b9ea12684415a1
resnet50_1M,finetune,linear,0.1,10,84,820,0.665,0.905,0.665,0.905,b8b886af86bc4c1590edb8b3e1080351
resnet50_5M,finetune,linear,0.1,10,84,820,0.664,0.907,0.664,0.907,aaa9e44c09bc4446a16db03396ffdc0a
efficientnetb0,finetune,linear,0.1,10,128,820,0.644,0.884,0.644,0.884,46c6bb6cf731463a9c924f5914dc1294
vits16_imagenet,finetune,linear,0.1,10,128,820,0.641,0.901,0.641,0.901,d360123eb4b44948ba0c8b0b003aee26
resnet50_imagenet,finetune,linear,0.1,10,128,820,0.589,0.857,0.589,0.857,d14f3fc900d943fd9bc5c00aaf4cea63
vits16_gastronet,finetune,linear,0.1,10,128,820,0.693,0.926,0.693,0.926,54a0ed20e59b4b09a7c2d37487fa6faf
resnet50_200K,finetune,linear,0.1,10,128,820,0.641,0.911,0.641,0.911,bf9e6d71ec2b45eaaf9a3e515c63668d
resnet50_1M,finetune,linear,0.1,10,128,820,0.638,0.901,0.638,0.901,889d300c219f4e9db143c2f08a28cf4e
resnet50_5M,finetune,linear,0.1,10,128,820,0.65,0.896,0.65,0.896,dceab83501cb4047bbcd6c70e4110cfe
efficientnetb0,finetune,linear,0.1,10,256,820,0.664,0.896,0.664,0.896,70924c682e9b4db7a08ef1a421ede325
vits16_imagenet,finetune,linear,0.1,10,256,820,0.636,0.896,0.636,0.896,20449edeecd3489981d62141b5b1b48d
resnet50_imagenet,finetune,linear,0.1,10,256,820,0.578,0.855,0.578,0.855,dfaa3338418f45658ae332e57dbea8ec
vits16_gastronet,finetune,linear,0.1,10,256,820,0.691,0.919,0.691,0.919,e0b9c0b9375b4816b91cd5248a1240c7
resnet50_200K,finetune,linear,0.1,10,256,820,0.648,0.893,0.648,0.893,56cfb2ca6a984f8a80ac3e658c442df4
resnet50_1M,finetune,linear,0.1,10,256,820,0.676,0.903,0.676,0.903,445a46213beb4bdca798a004865dd523
resnet50_5M,finetune,linear,0.1,10,256,820,0.675,0.918,0.675,0.918,573ba0ef32e14a6294fbb9cec6fc1e82
efficientnetb0,finetune,linear,0.1,10,364,820,0.647,0.885,0.647,0.885,3cccaa89df244357a4e2d657ba3e03dc
vits16_imagenet,finetune,linear,0.1,10,364,820,0.608,0.889,0.608,0.889,593e1c8f99a6479d8208962e5ca8592b
resnet50_imagenet,finetune,linear,0.1,10,364,820,0.587,0.846,0.587,0.846,ade029d4a4f745eaba1cb8a4512d21e0
vits16_gastronet,finetune,linear,0.1,10,364,820,0.699,0.926,0.699,0.926,61579f509fd141acb3567b33fb1abd79
resnet50_200K,finetune,linear,0.1,10,364,820,0.613,0.883,0.613,0.883,13805a17108b43049aa2dee7e9277ea3
resnet50_1M,finetune,linear,0.1,10,364,820,0.625,0.884,0.625,0.884,7b9c31919d854219b81e3a21ca14d92b
resnet50_5M,finetune,linear,0.1,10,364,820,0.643,0.914,0.643,0.914,1b8c760f5155427bad024f00c8707483
efficientnetb0,finetune,linear,0.1,10,420,820,0.629,0.88,0.629,0.88,d0584fd721ae47b7a887597501fa2dc1
vits16_imagenet,finetune,linear,0.1,10,420,820,0.638,0.896,0.638,0.896,bedc40fb48ed4f26a14508c0065d8f2a
resnet50_imagenet,finetune,linear,0.1,10,420,820,0.604,0.856,0.604,0.856,593cad4980a84ad289b62153fe68c08c
vits16_gastronet,finetune,linear,0.1,10,420,820,0.668,0.911,0.668,0.911,978bbe5650434a8fab0857deaa10f240
resnet50_200K,finetune,linear,0.1,10,420,820,0.624,0.888,0.624,0.888,5c9f759778464be0911cceeb6011029e
resnet50_1M,finetune,linear,0.1,10,420,820,0.619,0.884,0.619,0.884,10572c663c9f424db49b5dc4f7e14ff1
resnet50_5M,finetune,linear,0.1,10,420,820,0.647,0.91,0.647,0.91,bcc27f8a828d4727b0a6474814d80cbd
efficientnetb0,finetune,linear,0.25,25,42,2050,0.655,0.901,0.655,0.901,98e281fba15c4c06b9a911f51b411237
vits16_imagenet,finetune,linear,0.25,25,42,2050,0.655,0.919,0.655,0.919,0fa5283853024efa864d233b8f9beeec
resnet50_imagenet,finetune,linear,0.25,25,42,2050,0.679,0.913,0.679,0.913,c51455a8e61b49329c6414231aedd074
vits16_gastronet,finetune,linear,0.25,25,42,2050,0.728,0.933,0.728,0.933,89e6a1fef89c4f039d7466ff9596eac2
resnet50_200K,finetune,linear,0.25,25,42,2050,0.683,0.923,0.683,0.923,64d2812666c94cbd98354db41c9d1a84
resnet50_1M,finetune,linear,0.25,25,42,2050,0.713,0.92,0.713,0.92,036b7cb549ea49a5b353ad4f05cdbc9a
resnet50_5M,finetune,linear,0.25,25,42,2050,0.71,0.928,0.71,0.928,9c92eee1b3d64cc7a99bc280cd84d14e
efficientnetb0,finetune,linear,0.25,25,84,2050,0.673,0.906,0.673,0.906,6ec3844ecd264596a9564742dc148434
vits16_imagenet,finetune,linear,0.25,25,84,2050,0.665,0.92,0.665,0.92,63af1758a15b4617b34d231904a66203
resnet50_imagenet,finetune,linear,0.25,25,84,2050,0.687,0.91,0.687,0.91,d8fac122e102473bbda851ddd92cd4e4
vits16_gastronet,finetune,linear,0.25,25,84,2050,0.721,0.93,0.721,0.93,7a67929b9eba4bcda8c289b5c61d65c1
resnet50_200K,finetune,linear,0.25,25,84,2050,0.676,0.921,0.676,0.921,fe9b0841f669469daf553da09fd6d759
resnet50_1M,finetune,linear,0.25,25,84,2050,0.677,0.922,0.677,0.922,3b1c717bd46843bb8d42150e148b7f6b
resnet50_5M,finetune,linear,0.25,25,84,2050,0.674,0.925,0.674,0.925,b29f70177ab2438085050eff97bcc45f
efficientnetb0,finetune,linear,0.25,25,128,2050,0.65,0.901,0.65,0.901,735b6a9b624b4d068964f84e4372f48d
vits16_imagenet,finetune,linear,0.25,25,128,2050,0.684,0.929,0.684,0.929,7c1ad062aaf24461b9f5f1730111a499
