model,freeze,head_type,pct_data,subset_ratio,f1_mean,f1_std,auroc_mean,auroc_std,tuned_threshold_mean,tuned_threshold_std,tuned_sensitivity_mean,tuned_sensitivity_std,tuned_specificity_mean,tuned_specificity_std,tuned_f1_mean,tuned_f1_std,clip_f1_mean,clip_f1_std,clip_auroc_mean,clip_auroc_std,n_train,best_checkpoint_dir,best_seed,best_seed_auroc
efficientnetb0,finetune,linear,10,0.1,0.39866666666666667,0.08643533228180864,0.6796666666666668,0.17786136923645526,0.2733333333333333,0.15200877167672483,0.8442503639010189,0.1641286383444534,0.42643155100492985,0.3640809263552301,0.45066477955350864,0.12025242531026333,0.42948564593301436,0.054374035498216844,0.6712962962962963,0.1943038512884251,290,output/ulcer/models/efficientnetb0/0/linear/20260605_173503,42,0.902
efficientnetb0,finetune,linear,25,0.25,0.6196666666666667,0.06537481676201218,0.8921666666666667,0.03079880950080163,0.11166666666666668,0.024013884872437163,0.8624454148471615,0.03932556262853949,0.7709518392112248,0.07232011907263045,0.633501296914621,0.05044618643492807,0.6287719298245614,0.08200623807995251,0.8877314814814815,0.03845659195795404,686,output/ulcer/models/efficientnetb0/0/linear/20260605_201438,364,0.928
efficientnetb0,finetune,linear,50,0.5,0.6713333333333334,0.0373559455330295,0.9133333333333334,0.012909944487358114,0.15666666666666665,0.09852241707685955,0.8646288209606987,0.08340497038472183,0.7775881683731513,0.07787671665868444,0.6390330910031828,0.036794188020753134,0.7017316017316017,0.058577683376748055,0.9131944444444443,0.01927005128543279,1375,output/ulcer/models/efficientnetb0/0/linear/20260605_213302,128,0.923
efficientnetb0,finetune,linear,75,0.75,0.6888333333333333,0.05580471903581872,0.9213333333333334,0.020392809190169617,0.22166666666666668,0.11267948645013726,0.8377001455604075,0.044568590661993784,0.8369359120212363,0.023925070654465353,0.6803710691667656,0.02792700026994065,0.7296373344428265,0.09477667796850063,0.9317129629629629,0.015631428718642756,2098,output/ulcer/models/efficientnetb0/0/linear/20260606_002522,364,0.94
efficientnetb0,finetune,linear,100,1.0,0.7093333333333334,0.04913518766288237,0.9329999999999999,0.01512613632095121,0.28833333333333333,0.20409964886463347,0.8100436681222707,0.06410444653232836,0.8782707622298066,0.052317354575597524,0.714138970940483,0.0411581688671983,0.7481601731601731,0.055693570251494746,0.939236111111111,0.011568285589553924,2812,output/ulcer/models/efficientnetb0/0/linear/20260606_020034,128,0.954
resnet50_1M,finetune,linear,10,0.1,0.3575,0.14109110531851396,0.6906666666666667,0.12733996492329766,0.26333333333333336,0.1812916618784953,0.7852983988355168,0.08865453385905356,0.5145999241562381,0.12604836197233368,0.43643704763777796,0.07153790840728241,0.4289026597630064,0.14135096454287976,0.6811342592592592,0.12086958002539097,290,output/ulcer/models/resnet50_1M/0/linear/20260605_174158,42,0.794
resnet50_1M,finetune,linear,25,0.25,0.5616666666666666,0.05760786983274654,0.8481666666666667,0.025817952410419138,0.18999999999999997,0.08221921916437785,0.7976710334788937,0.08181996992327355,0.7408039438756163,0.04842417802077852,0.5712417166222151,0.02179907277548816,0.616491996135959,0.11627724907859141,0.8373842592592592,0.03657663786138357,686,output/ulcer/models/resnet50_1M/0/linear/20260605_192758,84,0.888
resnet50_1M,finetune,linear,50,0.5,0.5801666666666666,0.04500407388966768,0.8531666666666666,0.02403677737690032,0.26333333333333336,0.15279616051022574,0.8471615720524017,0.08893728990812907,0.7337883959044369,0.07506463671984683,0.5926090909244789,0.02959254254830037,0.6494632903328555,0.0605935659195267,0.8489583333333334,0.02226016725670081,1375,output/ulcer/models/resnet50_1M/0/linear/20260605_212647,84,0.897
resnet50_1M,finetune,linear,75,0.75,0.5733333333333334,0.036219699980351336,0.8486666666666666,0.01238816639647155,0.22666666666666668,0.1506873142194348,0.8296943231441047,0.05181623397097409,0.7510428517254456,0.042521066286664085,0.5965060840986832,0.02191757794383004,0.6796135265700483,0.04215201051525525,0.8414351851851851,0.012551334918264823,2098,output/ulcer/models/resnet50_1M/0/linear/20260605_233516,84,0.862
resnet50_1M,finetune,linear,100,1.0,0.5838333333333333,0.04234816013319426,0.8635,0.01974588564739499,0.3116666666666667,0.1619156158826772,0.7976710334788937,0.11765027434471619,0.7626090254076603,0.07220190691616703,0.5890597733112289,0.03281499054872254,0.6597979797979797,0.06451248743141366,0.8553240740740741,0.025952780404025894,2812,output/ulcer/models/resnet50_1M/0/linear/20260606_030937,364,0.893
