model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,tuned_threshold,tuned_sensitivity,tuned_specificity,tuned_f1,clip_f1,clip_auroc,checkpoint_dir
vits16_imagenet,finetune,linear,0.1,10,42,290,0.346,0.685,0.9,0.9213973799126638,0.26393629124004553,0.38822447102115915,0.5,0.7256944444444444,output/ulcer/models/vits16_imagenet/0/linear/20260605_173506
efficientnetb0,finetune,linear,0.1,10,42,290,0.458,0.902,0.1,0.8646288209606987,0.7929465301478953,0.6502463054187192,0.375,0.920138888888889,output/ulcer/models/efficientnetb0/0/linear/20260605_173503
resnet50_imagenet,finetune,linear,0.1,10,42,290,0.259,0.788,0.33,0.9606986899563319,0.18657565415244595,0.37800687285223367,0.15384615384615385,0.7951388888888888,output/ulcer/models/resnet50_imagenet/0/linear/20260605_173638
vits16_gastronet,finetune,linear,0.1,10,42,290,0.282,0.708,0.1,0.6899563318777293,0.6757679180887372,0.47023809523809523,0.23529411764705882,0.6770833333333333,output/ulcer/models/vits16_gastronet/0/linear/20260605_173956
resnet50_1M,finetune,linear,0.1,10,42,290,0.113,0.794,0.24,0.9082969432314411,0.4857792946530148,0.46794150731158607,0.15384615384615385,0.8263888888888888,output/ulcer/models/resnet50_1M/0/linear/20260605_174158
resnet50_200K,finetune,linear,0.1,10,42,290,0.614,0.879,0.12,0.9126637554585153,0.6166097838452788,0.5393548387096774,0.6666666666666666,0.8506944444444444,output/ulcer/models/resnet50_200K/0/linear/20260605_174125
resnet50_5M,finetune,linear,0.1,10,42,290,0.48,0.815,0.12,0.6986899563318777,0.764505119453925,0.5369127516778524,0.35294117647058826,0.7916666666666667,output/ulcer/models/resnet50_5M/0/linear/20260605_174359
efficientnetb0,finetune,linear,0.1,10,84,300,0.519,0.808,0.36,0.537117903930131,0.8668941979522184,0.5245202558635395,0.5263157894736842,0.7881944444444444,output/ulcer/models/efficientnetb0/0/linear/20260605_174651
vits16_imagenet,finetune,linear,0.1,10,84,300,0.237,0.789,0.1,0.31004366812227074,0.9726962457337884,0.4382716049382716,0.14285714285714285,0.6770833333333334,output/ulcer/models/vits16_imagenet/0/linear/20260605_174931
resnet50_imagenet,finetune,linear,0.1,10,84,300,0.192,0.593,0.46,1.0,0.0022753128555176336,0.3430711610486891,0.26666666666666666,0.5868055555555555,output/ulcer/models/resnet50_imagenet/0/linear/20260605_175223
vits16_gastronet,finetune,linear,0.1,10,84,300,0.395,0.757,0.87,0.3231441048034934,0.9021615472127418,0.38046272493573263,0.4444444444444444,0.701388888888889,output/ulcer/models/vits16_gastronet/0/linear/20260605_175346
resnet50_200K,finetune,linear,0.1,10,84,300,0.425,0.8,0.1,0.8165938864628821,0.6916951080773607,0.5443959243085881,0.4444444444444444,0.7777777777777778,output/ulcer/models/resnet50_200K/0/linear/20260605_175409
